"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"PF","Anthony Davis",11500,"Sac@NO 08:00PM ET",55.021
"C","DeMarcus Cousins",10400,"Sac@NO 08:00PM ET",46.000
"PG","John Wall",9800,"Atl@Was 07:00PM ET",44.354
"PG","Stephen Curry",9500,"GS@Mia 07:30PM ET",45.542
"PF","Paul Millsap",9400,"Atl@Was 07:00PM ET",38.682
"PG","Ty Lawson",8700,"Chi@Den 09:00PM ET",35.479
"C","Chris Bosh",8500,"GS@Mia 07:30PM ET",39.804
"SF","Rudy Gay",7900,"Sac@NO 08:00PM ET",37.173
"C","Joakim Noah",7700,"Chi@Den 09:00PM ET",30.386
"PG","Brandon Jennings",7600,"Det@Mil 08:00PM ET",30.904
"PG","Jrue Holiday",7500,"Sac@NO 08:00PM ET",32.979
"SG","Jimmy Butler",7300,"Chi@Den 09:00PM ET",36.909
"PF","Pau Gasol",7200,"Chi@Den 09:00PM ET",40.350
"SG","Tyreke Evans",7200,"Sac@NO 08:00PM ET",34.417
"SG","Dwyane Wade",7100,"GS@Mia 07:30PM ET",36.688
"C","Al Horford",7100,"Atl@Was 07:00PM ET",29.045
"SG","Klay Thompson",7100,"GS@Mia 07:30PM ET",36.000
"PG","Brandon Knight",7100,"Det@Mil 08:00PM ET",36.036
"C","Andre Drummond",7100,"Det@Mil 08:00PM ET",27.442
"PF","David Lee",7000,"GS@Mia 07:30PM ET",5.500
"PG","Darren Collison",7000,"Sac@NO 08:00PM ET",34.458
"PG","Jeff Teague",7000,"Atl@Was 07:00PM ET",32.500
"PF","Greg Monroe",7000,"Det@Mil 08:00PM ET",32.795
"SF","Josh Smith",6500,"Det@Mil 08:00PM ET",31.058
"PG","Derrick Rose",6500,"Chi@Den 09:00PM ET",30.600
"PG","Mario Chalmers",6400,"GS@Mia 07:30PM ET",27.857
"C","Marcin Gortat",6200,"Atl@Was 07:00PM ET",29.188
