Position,PlayerName,Team,Opponent,Salary,PPG
C,Josh Powell,Rockets,Magic,5000,10.8
PF,Josh Powell,Rockets,Magic,5000,10.8
C,Boris Diaw,Spurs,Rockets,7400,19.7
PF,Boris Diaw,Spurs,Rockets,7400,19.7
C,Carlos Boozer,Lakers,Rockets,11550,25.7
PF,Carlos Boozer,Lakers,Rockets,11550,25.7
C,Omer Asik,Pelicans,Mavericks,9850,17.6
PF,Omer Asik,Pelicans,Mavericks,9850,17.6
C,Dirk Nowitzki,Mavericks,Pelicans,13200,35.1
PF,Dirk Nowitzki,Mavericks,Pelicans,13200,35.1
PG,Jason Terry,Rockets,Magic,5000,9.0
SG,Jason Terry,Rockets,Magic,5000,9.0
C,Tyson Chandler,Mavericks,Pelicans,10500,25.0
SG,Ben Gordon,Magic,Rockets,6150,8.8
PF,Charlie Villanueva,Mavericks,Pelicans,5000,7.8
PF,Austin Daye,Spurs,Rockets,6650,5.5
SF,Austin Daye,Spurs,Rockets,6650,5.5
PF,Vernon Macklin,Pelicans,Mavericks,5000,0.0
PG,Monta Ellis,Mavericks,Pelicans,12950,32.7
SG,Monta Ellis,Mavericks,Pelicans,12950,32.7
PG,Jeremy Lin,Lakers,Rockets,10800,23.2
SG,Jeremy Lin,Lakers,Rockets,10800,23.2
PF,Jeff Adrien,Rockets,Magic,5000,16.3
SF,Jeff Adrien,Rockets,Magic,5000,16.3
C,Jeremy Tyler,Lakers,Rockets,5000,7.7
C,Jordan Hill,Lakers,Rockets,10400,21.6
PF,Jordan Hill,Lakers,Rockets,10400,21.6
PF,Donatas Motiejunas,Rockets,Magic,6500,11.4
SF,Donatas Motiejunas,Rockets,Magic,6500,11.4
SG,Eric Gordon,Pelicans,Mavericks,9400,24.8
SF,Al-Farouq Aminu,Mavericks,Pelicans,5800,18.8
PG,Kobe Bryant,Lakers,Rockets,13700,27.2
SG,Kobe Bryant,Lakers,Rockets,13700,27.2
SG,Xavier Henry,Lakers,Rockets,5950,16.0
SF,Xavier Henry,Lakers,Rockets,5950,16.0
PG,Ish Smith,Rockets,Magic,6250,10.6
PF,Tobias Harris,Magic,Rockets,10450,25.8
SF,Tobias Harris,Magic,Rockets,10450,25.8
PG,Luke Ridnour,Magic,Rockets,5000,11.6
SG,Luke Ridnour,Magic,Rockets,5000,11.6
SG,Wayne Ellington,Lakers,Rockets,5000,5.9
SG,Wesley Johnson,Lakers,Rockets,7900,20.6
SF,Wesley Johnson,Lakers,Rockets,7900,20.6
PF,Chandler Parsons,Mavericks,Pelicans,12400,31.8
SF,Chandler Parsons,Mavericks,Pelicans,12400,31.8
C,Brandan Wright,Mavericks,Pelicans,6900,16.8
PF,Brandan Wright,Mavericks,Pelicans,6900,16.8
SG,Willie Green,Magic,Rockets,5000,8.5
SG,Trevor Ariza,Rockets,Magic,11250,30.0
SF,Trevor Ariza,Rockets,Magic,11250,30.0
SG,Marco Belinelli,Spurs,Rockets,8150,17.3
SF,Marco Belinelli,Spurs,Rockets,8150,17.3
SG,James Harden,Rockets,Magic,18300,42.8
SF,James Harden,Rockets,Magic,18300,42.8
C,Dwight Howard,Rockets,Magic,15650,40.0
PF,Dwight Howard,Rockets,Magic,15650,40.0
PG,Jameer Nelson,Mavericks,Pelicans,8400,27.7
C,Ryan Anderson,Pelicans,Mavericks,10600,31.2
PF,Ryan Anderson,Pelicans,Mavericks,10600,31.2
PG,Jrue Holiday,Pelicans,Mavericks,12750,33.3
C,Nikola Vucevic,Magic,Rockets,13750,33.1
PF,Nikola Vucevic,Magic,Rockets,13750,33.1
PG,Steve Nash,Lakers,Rockets,6650,17.6
C,Channing Frye,Magic,Rockets,9200,22.2
PF,Channing Frye,Magic,Rockets,9200,22.2
PG,Raymond Felton,Mavericks,Pelicans,5900,23.6
SG,Raymond Felton,Mavericks,Pelicans,5900,23.6
PG,Patty Mills,Spurs,Rockets,5000,16.6
SF,Luke Babbitt,Pelicans,Mavericks,5000,13.5
SG,John Salmons,Pelicans,Mavericks,5600,11.4
SF,John Salmons,Pelicans,Mavericks,5600,11.4
SG,Francisco Garcia,Rockets,Magic,5000,12.2
SF,Francisco Garcia,Rockets,Magic,5000,12.2
SG,Tyreke Evans,Pelicans,Mavericks,11550,28.2
SF,Tyreke Evans,Pelicans,Mavericks,11550,28.2
PG,Jimmer Fredette,Pelicans,Mavericks,5000,9.3
SG,Jimmer Fredette,Pelicans,Mavericks,5000,9.3
C,Tim Duncan,Spurs,Rockets,13550,34.0
PF,Tim Duncan,Spurs,Rockets,13550,34.0
SG,Manu Ginobili,Spurs,Rockets,8800,24.8
SF,Manu Ginobili,Spurs,Rockets,8800,24.8
SF,Richard Jefferson,Mavericks,Pelicans,5000,17.3
PG,Tony Parker,Spurs,Rockets,11950,26.6
PF,Matt Bonner,Spurs,Rockets,5000,6.5
C,Tiago Splitter,Spurs,Rockets,8400,19.1
SG,Danny Green,Spurs,Rockets,8450,19.6
SF,Danny Green,Spurs,Rockets,8450,19.6
SG,Kawhi Leonard,Spurs,Rockets,11450,28.4
SF,Kawhi Leonard,Spurs,Rockets,11450,28.4
PG,Cory Joseph,Spurs,Rockets,5800,9.0
C,Alexis Ajinca,Pelicans,Mavericks,5000,14.6
PF,Alexis Ajinca,Pelicans,Mavericks,5000,14.6
C,Joey Dorsey,Rockets,Magic,5000,0.0
PF,Joey Dorsey,Rockets,Magic,5000,0.0
C,Ed Davis,Lakers,Rockets,5050,11.7
PF,Ed Davis,Lakers,Rockets,5050,11.7
PG,Devin Harris,Mavericks,Pelicans,7450,18.1
SG,Devin Harris,Mavericks,Pelicans,7450,18.1
PG,Ronnie Price,Lakers,Rockets,5000,8.4
SG,Ronnie Price,Lakers,Rockets,5000,8.4
SG,Nick Young,Lakers,Rockets,8500,24.4
SF,Nick Young,Lakers,Rockets,8500,24.4
C,Ivan Johnson,Mavericks,Pelicans,5000,0.0
PF,Ivan Johnson,Mavericks,Pelicans,5000,0.0
C,Greg Smith,Mavericks,Pelicans,5000,6.5
PF,Greg Smith,Mavericks,Pelicans,5000,6.5
C,Jeff Ayres,Spurs,Rockets,5000,8.0
PF,Jeff Ayres,Spurs,Rockets,5000,8.0
C,Anthony Davis,Pelicans,Mavericks,18100,42.2
PF,Anthony Davis,Pelicans,Mavericks,18100,42.2
PG,Austin Rivers,Pelicans,Mavericks,5000,13.8
SG,Austin Rivers,Pelicans,Mavericks,5000,13.8
SF,Maurice Harkless,Magic,Rockets,5650,15.9
PF,Terrence Jones,Rockets,Magic,10900,25.1
SF,Terrence Jones,Rockets,Magic,10900,25.1
PF,Andrew Nicholson,Magic,Rockets,5000,10.8
SG,Evan Fournier,Magic,Rockets,6000,14.4
C,Bernard James,Mavericks,Pelicans,5000,3.2
PF,Bernard James,Mavericks,Pelicans,5000,3.2
PF,Jae Crowder,Mavericks,Pelicans,5000,10.3
SF,Jae Crowder,Mavericks,Pelicans,5000,10.3
SG,Doron Lamb,Mavericks,Pelicans,5000,6.4
SG,Darius Miller,Pelicans,Mavericks,5000,8.5
SF,Darius Miller,Pelicans,Mavericks,5000,8.5
PF,Kostas Papanikolaou,Rockets,Magic,5650,0.0
SF,Kostas Papanikolaou,Rockets,Magic,5650,0.0
C,Kyle O'Quinn,Magic,Rockets,6400,16.9
PF,Kyle O'Quinn,Magic,Rockets,6400,16.9
C,Robert Sacre,Lakers,Rockets,5000,12.6
PG,Dionte Christmas,Pelicans,Mavericks,5000,4.3
SG,Dionte Christmas,Pelicans,Mavericks,5000,4.3
PF,Kevin Jones,Pelicans,Mavericks,5000,0.0
SF,Kevin Jones,Pelicans,Mavericks,5000,0.0
PG,Patrick Beverley,Rockets,Magic,9350,21.5
SG,Patrick Beverley,Rockets,Magic,9350,21.5
C,Aron Baynes,Spurs,Rockets,5000,6.5
PG,Victor Oladipo,Magic,Rockets,12000,26.9
SG,Victor Oladipo,Magic,Rockets,12000,26.9
PG,Isaiah Canaan,Rockets,Magic,5000,8.2
C,Jeff Withey,Pelicans,Mavericks,5000,8.9
SG,Ricky Ledo,Mavericks,Pelicans,5000,2.3
PF,Ryan Kelly,Lakers,Rockets,5000,17.1
PG,Peyton Siva,Magic,Rockets,5000,5.4
PG,Gal Mekel,Mavericks,Pelicans,5000,6.0
SG,Gal Mekel,Mavericks,Pelicans,5000,6.0
PG,Seth Curry,Magic,Rockets,5000,4.4
SF,Eric Griffin,Mavericks,Pelicans,5000,0.0
PF,Robert Covington,Rockets,Magic,5000,4.0
C,Dewayne Dedmon,Magic,Rockets,5000,9.6
PF,JaMychal Green,Spurs,Rockets,5000,0.0
PG,Troy Daniels,Rockets,Magic,5300,12.6
SF,D.J. Stephens,Pelicans,Mavericks,5000,4.1
PF,Aaron Gordon,Magic,Rockets,7300,0.0
PF,Julius Randle,Lakers,Rockets,6650,0.0
PG,Elfrid Payton,Magic,Rockets,9050,0.0
PF,Clint Capela,Rockets,Magic,5000,0.0
SF,Kyle Anderson,Spurs,Rockets,5000,0.0
SG,Nick Johnson,Rockets,Magic,5000,0.0
PG,Jordan Clarkson,Lakers,Rockets,5000,0.0
PG,Russ Smith,Pelicans,Mavericks,5000,0.0
SG,Roy Devyn Marble,Magic,Rockets,5000,0.0
PF,Patric Young,Pelicans,Mavericks,5000,0.0
PG,Bryce Cotton,Spurs,Rockets,5000,0.0
PF,Tarik Black,Rockets,Magic,5000,0.0
PG,Keith Appling,Lakers,Rockets,5000,0.0
SG,Jabari Brown,Lakers,Rockets,5000,0.0
PF,Roscoe Smith,Lakers,Rockets,5000,0.0
PF,Akil Mitchell,Rockets,Magic,5000,0.0
PF,Josh Davis,Spurs,Rockets,5000,0.0
PF,Kadeem Batts,Magic,Rockets,5000,0.0
SG,Drew Crawford,Magic,Rockets,5000,0.0
